Année;Trimestre;code typeProd;typeprod;NB;MW
2016;2;600;Autres;0;0.0
2016;4;600;Autres;3;4.69
2016;4;500;Cogénération;69;174.0
2016;2;200;Eolien;35;349.41
2016;2;100;Photovoltaïque;4070;145.03
2016;4;100;Photovoltaïque;3161;101.9
2016;3;600;Autres;0;0.0
2016;3;200;Eolien;26;217.1
2016;1;600;Autres;0;0.0
2016;1;400;Bio énergie;17;18.63
2016;2;500;Cogénération;0;0.0
2016;4;300;Hydraulique;20;6.24
2016;1;100;Photovoltaïque;4842;176.44
2016;3;100;Photovoltaïque;3605;112.55
2016;2;400;Bio énergie;23;7.75
2016;1;200;Eolien;17;128.91
2016;1;300;Hydraulique;26;4.46
2016;2;300;Hydraulique;22;15.59
2016;3;300;Hydraulique;11;8.37
2016;3;400;Bio énergie;22;11.41
2016;4;400;Bio énergie;14;15.67
2016;1;500;Cogénération;7;13.55
2016;3;500;Cogénération;4;7.09
2016;4;200;Eolien;56;498.59
