Index,Année,Région,insee_region,Production hydraulique renouvelable (GWh),Production bioénergie renouvelable (GWh),Production éolienne renouvelable (GWh),Production solaire renouvelable (GWh)
0,2011,Bourgogne-Franche-Comté,27,639.3,81.6,154.1,58.3
1,2011,Hauts-de-France,32,3.7,327.9,2473.8,47.5
2,2011,Grand-Est,44,6519.9,237.8,2685.8,171.9
3,2011,Auvergne-Rhône-Alpes,84,19358.3,253.1,606.4,244.3
4,2011,Occitanie,76,7740.1,439.4,1815.1,447.1
5,2011,Nouvelle-Aquitaine,75,2278.9,943.3,346.8,332.9
6,2011,Pays de la Loire,52,11.3,133.6,703.6,187.5
7,2011,Corse,94,294.0,8.2,24.2,25.1
8,2011,Provence-Alpes-Côte d'Azur,93,7915.7,288.5,92.5,338.7
9,2011,Bretagne,53,509.8,74.6,1112.9,95.4
10,2011,Centre-Val de Loire,24,56.3,132.1,1216.4,53.3
11,2011,Ile-de-France,11,44.9,677.4,13.9,27.5
12,2011,Normandie,28,111.0,259.7,829.5,39.1
0,2012,Auvergne-Rhône-Alpes,84,26869.1,299.0,777.9,438.2
1,2012,Pays de la Loire,52,16.0,172.1,885.0,277.8
2,2012,Nouvelle-Aquitaine,75,3225.0,970.2,648.9,752.2
3,2012,Provence-Alpes-Côte d'Azur,93,9079.4,321.8,116.5,674.6
4,2012,Occitanie,76,8921.1,468.6,2072.5,894.6
5,2012,Hauts-de-France,32,13.0,358.8,2764.3,104.4
6,2012,Normandie,28,152.0,265.9,948.8,83.7
7,2012,Ile-de-France,11,56.0,693.6,54.5,53.7
8,2012,Grand-Est,44,8743.4,252.6,3517.4,319.8
9,2012,Bretagne,53,510.7,86.1,1286.0,138.3
10,2012,Centre-Val de Loire,24,118.0,142.8,1560.0,129.1
11,2012,Bourgogne-Franche-Comté,27,1050.4,89.7,271.0,102.2
12,2012,Corse,94,336.0,7.8,27.9,101.3
0,2013,Grand-Est,44,8624.5,430.3,3688.5,409.6
